2026-03-08 17:54:11 | INFO | CI | repo_dir=nlp-01-getting-started
2026-03-08 17:54:11 | INFO | CI | python=3.14.0
2026-03-08 17:54:11 | INFO | CI | os=Windows 11
2026-03-08 17:54:11 | INFO | CI | shell=powershell
2026-03-08 17:54:11 | INFO | CI | cwd=.
2026-03-08 17:54:11 | INFO | CI | github_actions=False
2026-03-08 17:54:11 | INFO | CI | START script.....
2026-03-08 17:54:11 | INFO | CI | ROOT_PATH = .
2026-03-08 17:54:11 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-08 17:54:11 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-08 17:54:17 | INFO | CI | ========================
2026-03-08 17:54:17 | INFO | CI | Pipeline executed successfully!
2026-03-08 17:54:17 | INFO | CI | ========================
2026-03-08 17:54:17 | INFO | CI | END main()
2026-03-10 19:11:06 | INFO | CI | === RUN START ===
2026-03-10 19:11:06 | INFO | CI | project=NLP
2026-03-10 19:11:06 | INFO | CI | repo_dir=nlp-01-getting-started
2026-03-10 19:11:06 | INFO | CI | python=3.14.3
2026-03-10 19:11:06 | INFO | CI | os=Windows 11
2026-03-10 19:11:06 | INFO | CI | shell=powershell
2026-03-10 19:11:06 | INFO | CI | cwd=.
2026-03-10 19:11:06 | INFO | CI | github_actions=False
2026-03-10 19:11:06 | INFO | CI | START script.....
2026-03-10 19:11:06 | INFO | CI | ROOT_PATH = .
2026-03-10 19:11:06 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-10 19:11:06 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-10 19:11:15 | INFO | CI | ========================
2026-03-10 19:11:15 | INFO | CI | Pipeline executed successfully!
2026-03-10 19:11:15 | INFO | CI | ========================
2026-03-10 19:11:15 | INFO | CI | END main()
2026-03-13 17:43:33 | INFO | CI | === RUN START ===
2026-03-13 17:43:33 | INFO | CI | project=NLP
2026-03-13 17:43:33 | INFO | CI | repo_dir=nlp-01-getting-started
2026-03-13 17:43:33 | INFO | CI | python=3.14.3
2026-03-13 17:43:33 | INFO | CI | os=Windows 11
2026-03-13 17:43:33 | INFO | CI | shell=powershell
2026-03-13 17:43:33 | INFO | CI | cwd=.
2026-03-13 17:43:33 | INFO | CI | github_actions=False
2026-03-13 17:43:33 | INFO | CI | START script.....
2026-03-13 17:43:33 | INFO | CI | ROOT_PATH = .
2026-03-13 17:43:33 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-13 17:43:33 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-13 17:43:50 | INFO | CI | ========================
2026-03-13 17:43:50 | INFO | CI | Pipeline executed successfully!
2026-03-13 17:43:50 | INFO | CI | ========================
2026-03-13 17:43:50 | INFO | CI | END main()
2026-03-13 17:44:05 | INFO | CI | === RUN START ===
2026-03-13 17:44:05 | INFO | CI | project=NLP
2026-03-13 17:44:05 | INFO | CI | repo_dir=nlp-01-getting-started
2026-03-13 17:44:05 | INFO | CI | python=3.14.3
2026-03-13 17:44:05 | INFO | CI | os=Windows 11
2026-03-13 17:44:05 | INFO | CI | shell=powershell
2026-03-13 17:44:05 | INFO | CI | cwd=.
2026-03-13 17:44:05 | INFO | CI | github_actions=False
2026-03-13 17:44:05 | INFO | CI | START script.....
2026-03-13 17:44:05 | INFO | CI | ROOT_PATH = .
2026-03-13 17:44:05 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-13 17:44:05 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-13 17:44:10 | INFO | CI | ========================
2026-03-13 17:44:10 | INFO | CI | Pipeline executed successfully!
2026-03-13 17:44:10 | INFO | CI | ========================
2026-03-13 17:44:10 | INFO | CI | END main()
2026-03-13 17:52:33 | INFO | CI | === RUN START ===
2026-03-13 17:52:33 | INFO | CI | project=NLP
2026-03-13 17:52:33 | INFO | CI | repo_dir=nlp-01-getting-started
2026-03-13 17:52:33 | INFO | CI | python=3.14.3
2026-03-13 17:52:33 | INFO | CI | os=Windows 11
2026-03-13 17:52:33 | INFO | CI | shell=powershell
2026-03-13 17:52:33 | INFO | CI | cwd=.
2026-03-13 17:52:33 | INFO | CI | github_actions=False
2026-03-13 17:52:33 | INFO | CI | START script.....
2026-03-13 17:52:33 | INFO | CI | ROOT_PATH = .
2026-03-13 17:52:33 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-13 17:52:33 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-13 17:52:39 | INFO | CI | ========================
2026-03-13 17:52:39 | INFO | CI | Pipeline executed successfully!
2026-03-13 17:52:39 | INFO | CI | ========================
2026-03-13 17:52:39 | INFO | CI | END main()
2026-03-13 18:06:35 | INFO | CI | === RUN START ===
2026-03-13 18:06:35 | INFO | CI | project=NLP
2026-03-13 18:06:35 | INFO | CI | repo_dir=nlp-01-getting-started
2026-03-13 18:06:35 | INFO | CI | python=3.14.3
2026-03-13 18:06:35 | INFO | CI | os=Windows 11
2026-03-13 18:06:35 | INFO | CI | shell=powershell
2026-03-13 18:06:35 | INFO | CI | cwd=.
2026-03-13 18:06:35 | INFO | CI | github_actions=False
2026-03-13 18:06:35 | INFO | CI | START script.....
2026-03-13 18:06:35 | INFO | CI | ROOT_PATH = .
2026-03-13 18:06:35 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-13 18:06:35 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-13 18:06:40 | INFO | CI | ========================
2026-03-13 18:06:40 | INFO | CI | Pipeline executed successfully!
2026-03-13 18:06:40 | INFO | CI | ========================
2026-03-13 18:06:40 | INFO | CI | END main()
